mascot,seed,data_mascot,data_article,data_date,data_views
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-01,156
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-02,100
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-03,107
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-04,112
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-05,129
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-06,148
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-07,158
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-08,171
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-09,154
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-10,132
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-11,153
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-12,201
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-13,160
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-14,155
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-15,116
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-16,117
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-17,153
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-18,149
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-19,197
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-20,180
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-21,174
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-22,140
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-23,158
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-24,154
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-25,169
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-26,184
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-27,197
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-28,196
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-29,173
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-30,384
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-08-31,363
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-01,251
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-02,196
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-03,221
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-04,198
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-05,288
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-06,348
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-07,253
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-08,249
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-09,205
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-10,183
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-11,215
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-12,293
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-13,348
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-14,272
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-15,244
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-16,231
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-17,218
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-18,227
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-19,224
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-20,347
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-21,680
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-22,294
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-23,249
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-24,239
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-25,231
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-26,198
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-27,305
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-28,246
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-29,218
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-09-30,193
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-01,147
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-02,132
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-03,133
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-04,195
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-05,175
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-06,153
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-07,187
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-08,163
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-09,149
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-10,157
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-11,1506
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-12,793
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-13,422
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-14,308
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-15,258
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-16,281
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-17,358
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-18,426
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-19,348
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-20,263
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-21,239
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-22,214
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-23,216
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-24,220
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-25,660
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-26,309
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-27,235
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-28,187
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-29,189
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-30,172
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-31,151
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-01,367
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-02,265
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-03,228
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-04,202
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-05,179
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-06,214
